,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Response,Total_Amount_Spent
130,1952,Graduation,Married,62998.0,0,1,5,5,4,5,5,0,0,0,0,0,0,463
131,1958,Master,Alone,61331.0,1,1,5,11,1,6,8,0,0,0,0,0,0,632
132,1969,Graduation,Married,73448.0,0,0,1,7,2,9,4,0,0,0,0,0,0,725
133,1963,Graduation,Married,51381.5,0,1,1,6,5,7,4,0,0,0,0,0,0,725
134,1964,PhD,Married,41551.0,1,1,5,5,1,5,8,0,0,0,0,0,0,279
135,1967,PhD,Together,62981.0,0,0,1,4,5,13,3,0,1,0,0,0,0,1482
136,1976,Basic,Divorced,9548.0,1,0,2,1,0,3,8,0,0,0,0,0,0,29
137,1959,PhD,Married,33762.0,2,1,3,2,2,2,8,0,0,0,0,0,0,106
138,1973,PhD,Alone,35860.0,1,1,2,1,1,2,5,1,0,0,0,0,1,49
139,1965,PhD,Divorced,36921.0,1,1,2,2,0,3,7,0,0,0,0,0,0,38
140,1992,Master,Single,92859.0,0,0,1,5,4,12,2,0,0,0,0,0,0,2077
141,1976,Master,Together,65104.0,0,1,2,3,5,7,7,0,0,0,0,0,1,1053
142,1962,Graduation,Married,86111.0,0,0,1,5,7,10,2,0,0,0,0,0,0,1385
143,1974,PhD,Single,68352.0,0,1,3,8,5,9,6,0,0,0,0,0,0,871
144,1988,Graduation,Together,41883.0,1,0,3,4,2,3,7,0,0,0,0,0,0,312
145,1976,Graduation,Married,59809.0,0,2,3,3,3,6,8,0,0,0,0,0,0,877
146,1975,Graduation,Married,23957.0,1,0,1,2,0,3,6,0,0,0,0,0,1,68
147,1981,Graduation,Together,38547.0,1,0,1,1,0,2,8,0,0,0,0,0,0,22
148,1973,2n Cycle,Married,35688.0,2,1,7,4,1,4,8,0,0,0,0,0,0,211
149,1966,Master,Married,49605.0,0,0,1,2,1,4,3,0,0,0,0,0,0,127
150,1953,Master,Married,59354.0,0,2,1,4,4,7,3,0,0,0,0,0,0,459
151,1969,Graduation,Married,65747.0,0,1,4,8,1,6,6,0,1,0,0,0,0,460
152,1972,2n Cycle,Together,46344.0,0,1,4,7,1,5,7,0,0,0,0,0,0,429
153,1988,Graduation,Alone,34176.0,1,0,4,3,0,4,6,0,0,0,0,0,0,89
154,1952,PhD,Together,61010.0,0,1,2,8,5,11,5,0,0,0,0,0,0,1021
155,1949,Graduation,Together,69372.0,0,0,1,10,4,6,4,0,1,1,0,0,1,1381
156,1958,Graduation,Single,49967.0,0,1,3,6,1,5,7,0,0,0,0,0,0,306
157,1978,Graduation,Single,60199.0,1,2,1,0,0,3,4,0,0,0,0,0,0,18
158,1977,Graduation,Together,55375.0,0,1,1,1,1,6,2,0,0,0,0,0,0,162
159,1955,Graduation,Single,80317.0,0,0,1,3,4,10,1,0,0,0,0,0,0,1231
160,1958,Master,Single,30523.0,2,1,1,1,0,2,7,0,0,0,0,0,0,13
161,1945,PhD,Married,70356.0,0,0,2,10,6,9,6,0,0,0,0,0,0,1706
162,1984,Graduation,Married,23228.0,1,0,4,3,0,4,8,0,0,0,0,0,0,121
163,1975,PhD,Divorced,74165.0,0,0,1,5,4,10,2,0,0,0,0,0,0,1293
164,1973,PhD,Married,157243.0,0,1,15,0,22,0,0,0,0,0,0,0,0,1608
165,1966,Graduation,Together,43482.0,2,1,3,2,0,4,6,0,0,0,0,0,0,88
166,1953,Graduation,Divorced,62551.0,0,0,1,6,7,4,3,1,0,0,0,0,0,421
167,1959,Graduation,Divorced,52332.0,0,0,1,3,2,6,4,0,1,0,0,0,0,259
168,1988,Graduation,Single,66951.0,0,0,1,3,4,7,1,0,0,0,0,0,0,1117
169,1957,Graduation,Together,26091.0,1,1,3,2,1,3,5,0,0,0,0,0,0,89
170,1965,Graduation,Together,33456.0,1,1,2,1,0,3,7,0,0,0,0,0,0,36
171,1982,Graduation,Married,28718.0,1,0,2,2,0,3,8,0,0,0,0,0,0,57
172,1970,Graduation,Married,50447.0,2,0,1,3,1,3,6,0,0,0,0,0,0,148
173,1959,PhD,Together,53537.0,1,1,2,2,1,3,5,0,0,0,0,0,0,93
174,1967,Graduation,Single,52074.0,0,1,1,2,2,2,4,1,0,0,0,0,0,119
175,1975,PhD,Married,80427.0,0,1,1,11,8,8,5,0,0,0,0,0,0,1835
176,1948,PhD,Married,83837.0,0,0,1,9,10,5,4,0,1,0,1,0,1,1318
177,1970,PhD,Married,38853.0,1,1,2,2,0,3,7,0,0,0,0,0,0,45
178,1959,Graduation,Together,38285.0,2,1,1,0,0,3,2,0,0,0,0,0,0,10
179,1951,2n Cycle,Married,78497.0,0,0,1,5,7,12,2,0,0,0,1,0,0,978
180,1976,PhD,Married,51650.0,0,1,1,4,1,4,5,0,0,0,0,0,0,191
181,1988,2n Cycle,Married,16248.0,1,0,3,2,1,3,6,0,0,0,0,0,0,57
182,1946,Master,Married,66835.0,0,0,1,6,4,13,2,0,0,0,0,0,0,1033
183,1984,Master,Married,30477.0,1,0,1,1,1,3,6,0,0,0,0,0,0,66
184,1961,Basic,Married,28249.0,0,0,1,2,0,3,6,0,0,0,0,0,0,43
185,1983,Graduation,Married,25271.0,1,0,1,1,1,2,9,0,0,0,0,0,0,50
186,1970,PhD,Single,32303.0,0,1,2,1,0,4,5,0,0,0,0,0,0,39
187,1966,Graduation,Married,61286.0,0,1,2,7,1,8,5,0,0,0,0,0,0,608
188,1976,Graduation,Married,74068.0,0,0,1,4,10,9,2,0,0,0,0,0,0,1581
189,1964,PhD,Married,45759.0,1,1,2,2,0,3,7,0,0,0,0,0,0,68
190,1978,Basic,Together,24882.0,1,0,1,1,1,2,6,1,0,0,0,0,0,80
191,1989,PhD,Together,66973.0,0,0,1,8,7,12,3,0,0,0,0,0,0,1282
192,1900,2n Cycle,Divorced,36640.0,1,0,1,2,1,2,5,0,0,0,0,0,0,65
193,1988,Graduation,Married,38872.0,1,0,2,3,0,3,8,0,0,0,0,0,0,91
194,1973,Graduation,Married,51148.0,1,1,4,5,1,6,6,0,0,0,0,0,0,315
195,1977,Graduation,Married,31353.0,1,1,2,1,1,2,8,0,0,0,0,0,0,31
196,1980,Master,Married,69661.0,0,0,1,7,3,12,3,0,0,0,0,0,0,834
197,1954,Graduation,Married,80067.0,0,0,1,4,6,6,2,0,0,1,0,0,0,1600
198,1954,Graduation,Married,86718.0,0,0,1,5,6,5,2,0,0,0,0,0,0,1270
199,1973,PhD,Single,46854.0,1,1,6,5,1,3,8,1,0,0,0,0,1,263
200,1952,Graduation,Divorced,69142.0,0,1,3,8,1,7,5,0,1,0,0,0,0,535
201,1968,Graduation,Single,75922.0,0,0,1,4,4,9,1,0,0,0,0,0,0,1295
202,1978,Graduation,Divorced,63693.0,0,1,3,11,6,9,6,0,0,0,0,0,0,1150
203,1977,PhD,Together,102160.0,0,0,0,7,9,10,4,0,1,1,1,0,1,1240
204,1965,PhD,Single,40637.0,1,1,2,1,0,3,7,0,0,0,0,0,0,38
205,1984,Master,Single,18890.0,0,0,1,0,1,2,6,1,0,0,0,0,1,35
206,1988,Graduation,Together,29604.0,1,0,1,1,0,3,9,1,0,0,0,0,0,53
207,1963,Master,Divorced,48721.0,1,1,6,4,2,5,6,0,0,0,0,0,0,293
208,1966,Graduation,Married,44794.0,0,1,1,2,0,3,6,0,0,0,0,0,0,65
209,1954,Graduation,Divorced,64497.0,0,1,5,11,4,9,8,1,0,0,0,0,1,1804
210,1956,Graduation,Together,46097.0,0,1,5,3,1,6,4,0,0,0,0,0,0,241
211,1954,Graduation,Together,77972.0,0,0,1,4,6,9,1,0,0,0,0,0,0,1101
212,1968,PhD,Married,44377.0,1,1,8,5,1,5,8,0,0,0,0,0,0,264
213,1974,Master,Together,46014.0,1,1,10,7,1,8,7,0,0,0,0,0,0,541
214,1985,Graduation,Married,70951.0,0,0,1,3,4,9,1,0,0,0,0,0,0,1198
215,1977,Graduation,Married,41443.0,1,0,6,8,1,5,8,0,0,0,0,0,0,482
216,1978,2n Cycle,Single,52195.0,2,1,1,1,0,2,8,0,0,0,0,0,0,17
217,1948,Master,Married,83790.0,0,0,1,8,10,6,3,0,1,1,0,0,0,1615
218,1954,Master,Widow,44551.0,0,1,2,4,1,5,7,0,0,0,0,0,0,285
219,1980,Graduation,Together,69508.0,1,0,2,11,4,11,6,0,0,0,0,0,0,1135
220,1988,2n Cycle,Together,45204.0,1,0,1,1,1,4,3,0,0,0,0,0,0,114
221,1969,Graduation,Married,72460.0,0,0,1,3,5,7,1,0,0,0,0,0,0,1047
222,1970,PhD,Together,77622.0,0,2,2,6,3,11,3,0,0,0,0,0,0,714
223,1980,PhD,Married,30732.0,1,0,4,4,1,4,8,0,0,0,0,0,0,185
224,1962,Graduation,Divorced,63887.0,0,1,5,9,6,12,6,0,0,0,0,0,0,1245
225,1978,Graduation,Together,42011.0,1,0,4,3,1,4,8,0,0,0,0,0,0,189
226,1976,Graduation,Together,51369.0,0,1,2,8,2,4,8,0,0,0,0,0,0,576
227,1952,Graduation,Divorced,51537.0,0,1,3,2,2,11,8,0,0,0,0,0,0,1103
228,1972,PhD,Married,79930.0,0,0,1,3,5,8,2,0,0,0,0,0,0,1753
229,1986,PhD,Together,34320.0,1,0,1,1,0,2,8,0,0,0,0,0,0,17
230,1966,Graduation,Single,37070.0,1,1,9,5,1,8,7,0,0,0,0,0,1,433
231,1962,2n Cycle,Divorced,81975.0,0,1,1,6,3,4,7,0,0,1,0,0,0,1588
232,1971,Graduation,Together,38590.0,1,0,1,1,0,2,8,0,0,0,0,0,0,22
233,1951,Graduation,Single,15033.0,0,0,1,1,0,3,3,0,0,0,0,0,0,19
234,1965,PhD,Married,62745.0,0,1,3,7,8,11,5,0,0,0,0,0,0,1117
235,1975,2n Cycle,Married,22212.0,1,0,2,2,0,4,6,0,0,0,0,0,0,69
236,1982,Master,Together,23661.0,1,0,1,1,0,3,7,0,0,0,0,0,0,23
237,1958,PhD,Single,79761.0,0,1,1,5,2,11,3,0,0,0,0,0,0,605
238,1973,Graduation,Single,7500.0,1,0,4,3,1,3,7,0,0,0,0,0,0,57
239,1893,2n Cycle,Single,60182.0,0,1,1,1,0,2,4,0,0,0,0,0,0,22
240,1968,Graduation,Widow,73455.0,0,0,1,6,5,10,3,0,1,0,0,0,0,2088
241,1958,Graduation,Together,64961.0,0,1,2,6,4,4,3,0,0,0,0,0,0,1009
242,1971,Graduation,Single,22804.0,1,0,1,2,0,2,9,0,0,0,0,0,0,26
243,1990,Graduation,Married,73687.0,0,0,1,3,9,9,2,0,0,0,1,0,1,1627
244,1958,Graduation,Married,61074.0,0,1,7,11,5,8,7,0,0,0,0,0,0,1102
245,1964,PhD,Married,31686.0,1,1,2,1,0,3,6,0,0,0,0,0,0,17
246,1972,Graduation,Married,80134.0,1,0,2,5,3,6,6,0,1,1,1,0,1,1690
247,1953,Graduation,Married,75027.0,0,1,2,9,4,6,5,0,0,0,0,0,0,1390
248,1988,PhD,Married,67546.0,0,0,1,4,10,5,3,0,0,0,0,0,0,2126
249,1969,Master,Together,65176.0,0,1,4,9,6,6,6,0,0,0,0,0,0,1531
250,1975,Master,Single,31160.0,1,0,2,2,0,3,8,0,0,0,0,0,0,64
251,1985,Graduation,Single,29938.0,1,0,2,1,0,3,6,0,0,0,0,0,0,26
252,1974,Graduation,Divorced,102692.0,0,0,1,6,9,13,2,0,1,1,1,1,1,1112
253,1958,2n Cycle,Together,26490.0,0,0,2,3,1,5,6,0,0,0,0,0,0,210
254,1967,Graduation,Together,75702.0,1,1,5,4,6,11,8,0,0,0,0,0,0,1148
255,1974,PhD,Single,30899.0,1,0,2,1,0,3,6,0,0,0,0,0,0,33
256,1961,PhD,Together,63342.0,0,1,3,8,3,5,6,0,1,0,0,0,0,1101
257,1964,Graduation,Single,45989.0,0,1,4,3,2,7,3,0,0,0,0,0,0,322
258,1964,Graduation,Single,18701.0,1,1,4,2,0,4,5,0,0,0,0,0,0,44
259,1957,PhD,Single,40737.0,2,1,1,1,0,2,8,0,0,0,0,0,0,17
260,1979,Graduation,Divorced,15287.0,1,0,2,1,1,2,7,1,0,0,0,0,1,31
261,1968,PhD,Divorced,69674.0,0,2,3,10,2,10,5,0,0,0,0,0,0,845
262,1970,Master,Married,44159.0,1,0,4,4,1,6,5,0,0,0,0,0,0,275
263,1978,PhD,Married,37717.0,1,0,1,1,0,2,9,0,0,0,0,0,0,25
264,1952,Master,Together,43776.0,1,1,6,5,2,4,8,0,0,0,0,0,1,275
265,1966,Master,Married,38179.0,1,1,4,3,1,3,7,0,0,0,0,0,0,90
266,1963,Graduation,Married,80124.0,0,0,1,3,7,8,1,1,0,0,0,0,0,1495
267,1970,PhD,Married,38097.0,1,1,4,3,2,2,7,1,0,0,0,0,1,184
268,1970,Graduation,Married,72940.0,0,0,1,3,3,6,1,0,0,0,0,0,0,981
269,1970,Graduation,Together,22070.0,1,0,2,2,2,2,6,0,0,0,0,0,0,67
270,1953,Graduation,Single,69267.0,0,0,2,3,4,5,7,0,0,0,0,0,1,1635
271,1983,Master,Single,31788.0,1,0,3,3,0,4,5,0,0,0,0,0,0,60
272,1975,PhD,Together,61905.0,0,1,2,4,2,4,5,0,0,0,0,0,0,231
273,1960,Graduation,Married,29315.0,1,1,4,2,0,4,6,0,0,0,0,0,0,48
274,1963,Graduation,Divorced,33378.0,1,1,3,2,0,4,7,0,0,0,0,0,0,99
275,1963,PhD,Together,66313.0,0,1,2,6,3,12,4,0,0,0,0,0,0,770
276,1956,Graduation,Single,60714.0,0,0,2,7,4,10,5,0,0,0,0,0,1,957
277,1981,Master,Together,77882.0,0,0,1,3,3,5,1,0,0,0,0,0,0,818
278,1986,PhD,Single,69867.0,0,0,1,3,5,8,1,0,0,0,1,0,1,925
279,1968,Master,Divorced,63841.0,0,1,1,9,3,9,6,0,0,0,0,0,0,908
280,1981,Basic,Married,24480.0,1,0,3,3,0,4,7,0,0,0,0,0,0,102
281,1976,Graduation,Together,51369.0,0,1,2,8,2,4,8,0,0,0,0,0,0,576
282,1946,Graduation,Together,37760.0,0,0,2,4,1,6,7,0,0,0,0,0,0,317
283,1974,PhD,Together,65640.0,0,1,1,5,1,8,2,0,0,0,0,0,0,461
284,1975,Master,Married,44319.0,1,1,2,2,0,3,5,0,0,0,0,0,0,37
285,1974,Graduation,Married,30631.0,1,0,1,3,1,2,7,0,0,0,0,0,0,70
286,1952,Graduation,Together,75278.0,0,0,1,6,3,13,3,0,0,0,0,0,0,930
287,1956,Master,Together,50898.0,1,1,13,6,2,12,5,0,0,0,0,0,0,859
288,1966,Graduation,Widow,79946.0,0,0,1,5,11,5,3,0,0,0,0,0,0,1478
289,1949,Master,Divorced,35416.0,0,0,3,7,1,5,8,0,0,0,0,0,0,390
290,1984,2n Cycle,Together,32414.0,0,0,1,1,0,3,7,1,0,0,0,0,0,52
291,1969,Graduation,Together,38361.0,1,0,3,3,1,3,7,0,0,0,0,0,0,137
292,1980,Graduation,Married,82497.0,0,0,1,2,7,9,4,0,0,1,0,0,0,1919
293,1971,Graduation,Together,16626.0,2,0,3,3,0,3,9,0,0,0,0,0,0,68
294,1965,Graduation,Together,29672.0,1,1,1,0,0,3,6,0,0,0,0,0,0,25
295,1952,Master,Together,55951.0,0,1,3,3,6,11,8,0,1,0,0,1,0,1374
296,1988,2n Cycle,Divorced,35388.0,1,0,1,1,0,3,7,0,0,0,0,0,0,32
