,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Response,Total_Amount_Spent,Target
158,1977,2,5,55375.0,0,1,1,1,1,6,2,0,0,0,0,0,0,162,0
159,1955,2,4,80317.0,0,0,1,3,4,10,1,0,0,0,0,0,0,1231,1
160,1958,3,4,30523.0,2,1,1,1,0,2,7,0,0,0,0,0,0,13,3
161,1945,4,3,70356.0,0,0,2,10,6,9,6,0,0,0,0,0,0,1706,1
162,1984,2,3,23228.0,1,0,4,3,0,4,8,0,0,0,0,0,0,121,3
163,1975,4,2,74165.0,0,0,1,5,4,10,2,0,0,0,0,0,0,1293,1
164,1973,4,3,157243.0,0,1,15,0,22,0,0,0,0,0,0,0,0,1608,1
165,1966,2,5,43482.0,2,1,3,2,0,4,6,0,0,0,0,0,0,88,0
166,1953,2,2,62551.0,0,0,1,6,7,4,3,1,0,0,0,0,0,421,0
167,1959,2,2,52332.0,0,0,1,3,2,6,4,0,1,0,0,0,0,259,0
168,1988,2,4,66951.0,0,0,1,3,4,7,1,0,0,0,0,0,0,1117,1
169,1957,2,5,26091.0,1,1,3,2,1,3,5,0,0,0,0,0,0,89,3
170,1965,2,5,33456.0,1,1,2,1,0,3,7,0,0,0,0,0,0,36,3
171,1982,2,3,28718.0,1,0,2,2,0,3,8,0,0,0,0,0,0,57,3
172,1970,2,3,50447.0,2,0,1,3,1,3,6,0,0,0,0,0,0,148,0
173,1959,4,5,53537.0,1,1,2,2,1,3,5,0,0,0,0,0,0,93,0
174,1967,2,4,52074.0,0,1,1,2,2,2,4,1,0,0,0,0,0,119,0
175,1975,4,3,80427.0,0,1,1,11,8,8,5,0,0,0,0,0,0,1835,1
176,1948,4,3,83837.0,0,0,1,9,10,5,4,0,1,0,1,0,1,1318,1
177,1970,4,3,38853.0,1,1,2,2,0,3,7,0,0,0,0,0,0,45,3
178,1959,2,5,38285.0,2,1,1,0,0,3,2,0,0,0,0,0,0,10,3
179,1951,0,3,78497.0,0,0,1,5,7,12,2,0,0,0,1,0,0,978,1
180,1976,4,3,51650.0,0,1,1,4,1,4,5,0,0,0,0,0,0,191,0
181,1988,0,3,16248.0,1,0,3,2,1,3,6,0,0,0,0,0,0,57,3
182,1946,3,3,66835.0,0,0,1,6,4,13,2,0,0,0,0,0,0,1033,1
183,1984,3,3,30477.0,1,0,1,1,1,3,6,0,0,0,0,0,0,66,3
184,1961,1,3,28249.0,0,0,1,2,0,3,6,0,0,0,0,0,0,43,3
185,1983,2,3,25271.0,1,0,1,1,1,2,9,0,0,0,0,0,0,50,3
186,1970,4,4,32303.0,0,1,2,1,0,4,5,0,0,0,0,0,0,39,3
187,1966,2,3,61286.0,0,1,2,7,1,8,5,0,0,0,0,0,0,608,0
188,1976,2,3,74068.0,0,0,1,4,10,9,2,0,0,0,0,0,0,1581,1
189,1964,4,3,45759.0,1,1,2,2,0,3,7,0,0,0,0,0,0,68,0
190,1978,1,5,24882.0,1,0,1,1,1,2,6,1,0,0,0,0,0,80,3
191,1989,4,5,66973.0,0,0,1,8,7,12,3,0,0,0,0,0,0,1282,1
192,1900,0,2,36640.0,1,0,1,2,1,2,5,0,0,0,0,0,0,65,3
193,1988,2,3,38872.0,1,0,2,3,0,3,8,0,0,0,0,0,0,91,3
194,1973,2,3,51148.0,1,1,4,5,1,6,6,0,0,0,0,0,0,315,0
195,1977,2,3,31353.0,1,1,2,1,1,2,8,0,0,0,0,0,0,31,3
196,1980,3,3,69661.0,0,0,1,7,3,12,3,0,0,0,0,0,0,834,1
197,1954,2,3,80067.0,0,0,1,4,6,6,2,0,0,1,0,0,0,1600,1
198,1954,2,3,86718.0,0,0,1,5,6,5,2,0,0,0,0,0,0,1270,1
199,1973,4,4,46854.0,1,1,6,5,1,3,8,1,0,0,0,0,1,263,0
200,1952,2,2,69142.0,0,1,3,8,1,7,5,0,1,0,0,0,0,535,1
201,1968,2,4,75922.0,0,0,1,4,4,9,1,0,0,0,0,0,0,1295,1
202,1978,2,2,63693.0,0,1,3,11,6,9,6,0,0,0,0,0,0,1150,0
203,1977,4,5,102160.0,0,0,0,7,9,10,4,0,1,1,1,0,1,1240,1
204,1965,4,4,40637.0,1,1,2,1,0,3,7,0,0,0,0,0,0,38,0
205,1984,3,4,18890.0,0,0,1,0,1,2,6,1,0,0,0,0,1,35,3
206,1988,2,5,29604.0,1,0,1,1,0,3,9,1,0,0,0,0,0,53,3
207,1963,3,2,48721.0,1,1,6,4,2,5,6,0,0,0,0,0,0,293,0
208,1966,2,3,44794.0,0,1,1,2,0,3,6,0,0,0,0,0,0,65,0
209,1954,2,2,64497.0,0,1,5,11,4,9,8,1,0,0,0,0,1,1804,0
210,1956,2,5,46097.0,0,1,5,3,1,6,4,0,0,0,0,0,0,241,0
211,1954,2,5,77972.0,0,0,1,4,6,9,1,0,0,0,0,0,0,1101,1
212,1968,4,3,44377.0,1,1,8,5,1,5,8,0,0,0,0,0,0,264,0
213,1974,3,5,46014.0,1,1,10,7,1,8,7,0,0,0,0,0,0,541,0
214,1985,2,3,70951.0,0,0,1,3,4,9,1,0,0,0,0,0,0,1198,1
215,1977,2,3,41443.0,1,0,6,8,1,5,8,0,0,0,0,0,0,482,0
216,1978,0,4,52195.0,2,1,1,1,0,2,8,0,0,0,0,0,0,17,0
217,1948,3,3,83790.0,0,0,1,8,10,6,3,0,1,1,0,0,0,1615,1
218,1954,3,6,44551.0,0,1,2,4,1,5,7,0,0,0,0,0,0,285,0
219,1980,2,5,69508.0,1,0,2,11,4,11,6,0,0,0,0,0,0,1135,1
220,1988,0,5,45204.0,1,0,1,1,1,4,3,0,0,0,0,0,0,114,0
221,1969,2,3,72460.0,0,0,1,3,5,7,1,0,0,0,0,0,0,1047,1
222,1970,4,5,77622.0,0,2,2,6,3,11,3,0,0,0,0,0,0,714,1
223,1980,4,3,30732.0,1,0,4,4,1,4,8,0,0,0,0,0,0,185,3
224,1962,2,2,63887.0,0,1,5,9,6,12,6,0,0,0,0,0,0,1245,0
225,1978,2,5,42011.0,1,0,4,3,1,4,8,0,0,0,0,0,0,189,0
226,1976,2,5,51369.0,0,1,2,8,2,4,8,0,0,0,0,0,0,576,0
227,1952,2,2,51537.0,0,1,3,2,2,11,8,0,0,0,0,0,0,1103,0
228,1972,4,3,79930.0,0,0,1,3,5,8,2,0,0,0,0,0,0,1753,1
229,1986,4,5,34320.0,1,0,1,1,0,2,8,0,0,0,0,0,0,17,3
230,1966,2,4,37070.0,1,1,9,5,1,8,7,0,0,0,0,0,1,433,3
231,1962,0,2,81975.0,0,1,1,6,3,4,7,0,0,1,0,0,0,1588,1
232,1971,2,5,38590.0,1,0,1,1,0,2,8,0,0,0,0,0,0,22,3
233,1951,2,4,15033.0,0,0,1,1,0,3,3,0,0,0,0,0,0,19,3
234,1965,4,3,62745.0,0,1,3,7,8,11,5,0,0,0,0,0,0,1117,0
235,1975,0,3,22212.0,1,0,2,2,0,4,6,0,0,0,0,0,0,69,3
236,1982,3,5,23661.0,1,0,1,1,0,3,7,0,0,0,0,0,0,23,3
237,1958,4,4,79761.0,0,1,1,5,2,11,3,0,0,0,0,0,0,605,1
238,1973,2,4,7500.0,1,0,4,3,1,3,7,0,0,0,0,0,0,57,3
239,1893,0,4,60182.0,0,1,1,1,0,2,4,0,0,0,0,0,0,22,0
240,1968,2,6,73455.0,0,0,1,6,5,10,3,0,1,0,0,0,0,2088,1
241,1958,2,5,64961.0,0,1,2,6,4,4,3,0,0,0,0,0,0,1009,1
242,1971,2,4,22804.0,1,0,1,2,0,2,9,0,0,0,0,0,0,26,3
243,1990,2,3,73687.0,0,0,1,3,9,9,2,0,0,0,1,0,1,1627,1
244,1958,2,3,61074.0,0,1,7,11,5,8,7,0,0,0,0,0,0,1102,0
245,1964,4,3,31686.0,1,1,2,1,0,3,6,0,0,0,0,0,0,17,3
246,1972,2,3,80134.0,1,0,2,5,3,6,6,0,1,1,1,0,1,1690,1
247,1953,2,3,75027.0,0,1,2,9,4,6,5,0,0,0,0,0,0,1390,1
248,1988,4,3,67546.0,0,0,1,4,10,5,3,0,0,0,0,0,0,2126,1
249,1969,3,5,65176.0,0,1,4,9,6,6,6,0,0,0,0,0,0,1531,1
250,1975,3,4,31160.0,1,0,2,2,0,3,8,0,0,0,0,0,0,64,3
251,1985,2,4,29938.0,1,0,2,1,0,3,6,0,0,0,0,0,0,26,3
252,1974,2,2,102692.0,0,0,1,6,9,13,2,0,1,1,1,1,1,1112,1
253,1958,0,5,26490.0,0,0,2,3,1,5,6,0,0,0,0,0,0,210,3
254,1967,2,5,75702.0,1,1,5,4,6,11,8,0,0,0,0,0,0,1148,1
255,1974,4,4,30899.0,1,0,2,1,0,3,6,0,0,0,0,0,0,33,3
256,1961,4,5,63342.0,0,1,3,8,3,5,6,0,1,0,0,0,0,1101,0
257,1964,2,4,45989.0,0,1,4,3,2,7,3,0,0,0,0,0,0,322,0
258,1964,2,4,18701.0,1,1,4,2,0,4,5,0,0,0,0,0,0,44,3
259,1957,4,4,40737.0,2,1,1,1,0,2,8,0,0,0,0,0,0,17,0
260,1979,2,2,15287.0,1,0,2,1,1,2,7,1,0,0,0,0,1,31,3
261,1968,4,2,69674.0,0,2,3,10,2,10,5,0,0,0,0,0,0,845,1
262,1970,3,3,44159.0,1,0,4,4,1,6,5,0,0,0,0,0,0,275,0
263,1978,4,3,37717.0,1,0,1,1,0,2,9,0,0,0,0,0,0,25,3
264,1952,3,5,43776.0,1,1,6,5,2,4,8,0,0,0,0,0,1,275,0
265,1966,3,3,38179.0,1,1,4,3,1,3,7,0,0,0,0,0,0,90,3
266,1963,2,3,80124.0,0,0,1,3,7,8,1,1,0,0,0,0,0,1495,1
267,1970,4,3,38097.0,1,1,4,3,2,2,7,1,0,0,0,0,1,184,3
268,1970,2,3,72940.0,0,0,1,3,3,6,1,0,0,0,0,0,0,981,1
269,1970,2,5,22070.0,1,0,2,2,2,2,6,0,0,0,0,0,0,67,3
270,1953,2,4,69267.0,0,0,2,3,4,5,7,0,0,0,0,0,1,1635,1
271,1983,3,4,31788.0,1,0,3,3,0,4,5,0,0,0,0,0,0,60,3
272,1975,4,5,61905.0,0,1,2,4,2,4,5,0,0,0,0,0,0,231,0
273,1960,2,3,29315.0,1,1,4,2,0,4,6,0,0,0,0,0,0,48,3
274,1963,2,2,33378.0,1,1,3,2,0,4,7,0,0,0,0,0,0,99,3
275,1963,4,5,66313.0,0,1,2,6,3,12,4,0,0,0,0,0,0,770,1
276,1956,2,4,60714.0,0,0,2,7,4,10,5,0,0,0,0,0,1,957,0
277,1981,3,5,77882.0,0,0,1,3,3,5,1,0,0,0,0,0,0,818,1
278,1986,4,4,69867.0,0,0,1,3,5,8,1,0,0,0,1,0,1,925,1
279,1968,3,2,63841.0,0,1,1,9,3,9,6,0,0,0,0,0,0,908,0
280,1981,1,3,24480.0,1,0,3,3,0,4,7,0,0,0,0,0,0,102,3
281,1976,2,5,51369.0,0,1,2,8,2,4,8,0,0,0,0,0,0,576,0
282,1946,2,5,37760.0,0,0,2,4,1,6,7,0,0,0,0,0,0,317,3
283,1974,4,5,65640.0,0,1,1,5,1,8,2,0,0,0,0,0,0,461,1
284,1975,3,3,44319.0,1,1,2,2,0,3,5,0,0,0,0,0,0,37,0
285,1974,2,3,30631.0,1,0,1,3,1,2,7,0,0,0,0,0,0,70,3
286,1952,2,5,75278.0,0,0,1,6,3,13,3,0,0,0,0,0,0,930,1
287,1956,3,5,50898.0,1,1,13,6,2,12,5,0,0,0,0,0,0,859,0
288,1966,2,6,79946.0,0,0,1,5,11,5,3,0,0,0,0,0,0,1478,1
289,1949,3,2,35416.0,0,0,3,7,1,5,8,0,0,0,0,0,0,390,3
290,1984,0,5,32414.0,0,0,1,1,0,3,7,1,0,0,0,0,0,52,3
291,1969,2,5,38361.0,1,0,3,3,1,3,7,0,0,0,0,0,0,137,3
292,1980,2,3,82497.0,0,0,1,2,7,9,4,0,0,1,0,0,0,1919,1
293,1971,2,5,16626.0,2,0,3,3,0,3,9,0,0,0,0,0,0,68,3
294,1965,2,5,29672.0,1,1,1,0,0,3,6,0,0,0,0,0,0,25,3
295,1952,3,5,55951.0,0,1,3,3,6,11,8,0,1,0,0,1,0,1374,0
296,1988,0,2,35388.0,1,0,1,1,0,3,7,0,0,0,0,0,0,32,3
297,1986,3,5,42386.0,1,0,1,3,0,3,8,0,0,0,0,0,0,100,0
298,1982,2,4,68627.0,0,0,1,2,3,6,1,0,0,0,0,0,0,825,1
299,1965,4,2,57912.0,0,1,5,8,3,12,5,0,1,0,0,0,0,916,0
300,1958,2,2,35246.0,1,1,4,3,1,3,5,0,0,0,0,0,0,62,3
301,1956,0,5,58821.0,0,1,1,9,2,9,6,0,0,0,0,0,0,728,0
302,1978,4,3,46377.0,1,0,1,2,1,3,4,0,0,0,0,0,0,90,0
303,1988,2,4,39747.0,1,0,3,5,1,4,8,0,0,0,0,0,0,273,3
304,1984,2,5,23976.0,1,0,3,3,1,3,7,0,0,0,0,0,0,66,3
305,1961,3,3,80950.0,0,0,1,6,7,9,2,0,0,0,1,0,0,1213,1
306,1966,2,6,27038.0,0,0,1,3,0,3,9,0,0,0,0,0,1,107,3
307,1947,2,4,77457.0,0,0,1,2,5,10,1,0,0,1,0,0,0,1157,1
308,1964,3,3,64100.0,0,1,1,8,3,6,7,0,1,0,0,0,0,546,0
